"Expresión","Resultado","Fecha"
"7+3+5-2"," 3.0","2023-10-26 23:25:04"
"7+3+5"," 15.0","2023-10-26 23:25:07"
"7+3+5-2"," 3.0","2023-10-26 23:25:10"
"2"," 2.0","2023-10-26 23:25:13"
"-2"," -2.0","2023-10-26 23:25:16"
"-2+6"," 4.0","2023-10-26 23:25:20"
"-2+6+8"," 12.0","2023-10-26 23:25:24"
"-2*6"," -12.0","2023-10-26 23:25:32"
"-2*/58"," 0.0","2023-10-26 23:25:35"
"-2/58"," -0.034482758620689655","2023-10-26 23:25:37"
"36"," 36.0","2023-10-26 23:29:22"
"36-9"," -9.0","2023-10-26 23:29:26"
"36"," 36.0","2023-10-26 23:30:17"
"36-8"," -8.0","2023-10-26 23:30:20"
"-8"," -8.0","2023-10-26 23:30:24"
"-8+69"," 61.0","2023-10-26 23:30:26"
"-8+69-8"," 61.0","2023-10-26 23:30:30"
"-8+69-8"," 61.0","2023-10-26 23:30:32"
"-8+69-8"," 61.0","2023-10-26 23:30:33"
"8/-5"," Infinity","2023-10-26 23:30:57"
"8/5"," 1.6","2023-10-26 23:31:01"
"-5"," -5.0","2023-10-26 23:31:05"
"3-6"," -6.0","2023-10-26 23:31:10"
"3-6"," -6.0","2023-10-26 23:31:11"
"3-6"," -6.0","2023-10-26 23:31:11"
"3-6"," -6.0","2023-10-26 23:31:12"
"3-6"," -6.0","2023-10-26 23:31:12"
"3*-6"," -6.0","2023-10-26 23:31:17"
"(3)*(-6)"," -18.0","2023-10-26 23:31:23"
"(3)-(6)"," -3.0","2023-10-26 23:31:33"
"6-(25)"," -25.0","2023-10-26 23:31:44"
"(6)-(25)"," -19.0","2023-10-26 23:31:48"
"(6)-25"," -19.0","2023-10-26 23:31:50"
"(6)-25+36"," 17.0","2023-10-26 23:31:54"
"(6)-25+25"," 6.0","2023-10-26 23:31:59"
"(5 * (10 - 15)) + 7"," -18.0","2023-10-26 23:32:20"
"(5 * (10 - 15)) -(7)"," -32.0","2023-10-26 23:33:50"
"(5 * (10 - 15))-(7)"," -32.0","2023-10-26 23:34:03"
"(-6)-(3)"," -9.0","2023-10-26 23:34:12"
"(-6)+(3)"," -3.0","2023-10-26 23:34:17"
"5 * 3 / 8 + (95 % 5 – 10"," 1.875","2023-10-26 23:34:47"
"5 * 3 / 8 + (95 % 5 – 10)"," 95.5","2023-10-26 23:34:52"
"(5 * 7) + (12/6) "," 37.0","2023-10-26 23:35:09"
"true&false"," false","2023-10-26 23:35:15"
